Txn Date,Narration,Debit,Credit
01/06/2026,SALARY CREDIT NORTHWIND LABS,,135000
02/06/2026,UPI-SWIGGY-ORDER,462,
03/06/2026,UPI-ZOMATO,631,
04/06/2026,RENT TRANSFER NOBROKER,23833,
05/06/2026,AMAZON PAY INDIA,2359,
06/06/2026,UPI-BLINKIT,541,
07/06/2026,NETFLIX.COM,725,
08/06/2026,SPOTIFY,121,
09/06/2026,UBER TRIP,292,
10/06/2026,HP PETROL PUMP,1725,
11/06/2026,UPI-SWIGGY-ORDER,555,
12/06/2026,AIRTEL POSTPAID,759,
13/06/2026,BESCOM ELECTRICITY,1564,
14/06/2026,MYNTRA,3380,
15/06/2026,UPI-ZOMATO,644,
16/06/2026,BIGBASKET,1952,
17/06/2026,SIP - MUTUAL FUND,16750,
18/06/2026,TRANSFER TO AMMA,10167,
19/06/2026,BOOKMYSHOW,495,
20/06/2026,UPI-SWIGGY INSTAMART,1023,
21/06/2026,APOLLO PHARMACY,452,
22/06/2026,INDIGO FLIGHT,5928,
23/06/2026,UPI-ZOMATO,774,
24/06/2026,DMART,1928,
25/06/2026,CAFE COFFEE DAY,374,
01/07/2026,SALARY CREDIT NORTHWIND LABS,,135000
02/07/2026,UPI-SWIGGY-ORDER,478,
03/07/2026,UPI-ZOMATO,655,
04/07/2026,RENT TRANSFER NOBROKER,24567,
05/07/2026,AMAZON PAY INDIA,2439,
06/07/2026,UPI-BLINKIT,561,
07/07/2026,NETFLIX.COM,746,
08/07/2026,SPOTIFY,125,
09/07/2026,UBER TRIP,302,
10/07/2026,HP PETROL PUMP,1275,
11/07/2026,UPI-SWIGGY-ORDER,573,
12/07/2026,AIRTEL POSTPAID,786,
13/07/2026,BESCOM ELECTRICITY,1625,
14/07/2026,MYNTRA,3484,
15/07/2026,UPI-ZOMATO,666,
16/07/2026,BIGBASKET,2026,
17/07/2026,SIP - MUTUAL FUND,17250,
18/07/2026,TRANSFER TO AMMA,10500,
19/07/2026,BOOKMYSHOW,513,
20/07/2026,UPI-SWIGGY INSTAMART,757,
21/07/2026,APOLLO PHARMACY,466,
22/07/2026,INDIGO FLIGHT,6136,
23/07/2026,UPI-ZOMATO,804,
24/07/2026,DMART,1988,
25/07/2026,CAFE COFFEE DAY,386,
01/08/2026,SALARY CREDIT NORTHWIND LABS,,135000
02/08/2026,UPI-SWIGGY-ORDER,494,
03/08/2026,UPI-ZOMATO,680,
04/08/2026,RENT TRANSFER NOBROKER,25300,
05/08/2026,AMAZON PAY INDIA,2519,
06/08/2026,UPI-BLINKIT,581,
07/08/2026,NETFLIX.COM,552,
08/08/2026,SPOTIFY,129,
09/08/2026,UBER TRIP,313,
10/08/2026,HP PETROL PUMP,1325,
11/08/2026,UPI-SWIGGY-ORDER,591,
12/08/2026,AIRTEL POSTPAID,812,
13/08/2026,BESCOM ELECTRICITY,1687,
14/08/2026,MYNTRA,3588,
15/08/2026,UPI-ZOMATO,688,
16/08/2026,BIGBASKET,2100,
17/08/2026,SIP - MUTUAL FUND,12750,
18/08/2026,TRANSFER TO AMMA,10833,
19/08/2026,BOOKMYSHOW,531,
20/08/2026,UPI-SWIGGY INSTAMART,786,
21/08/2026,APOLLO PHARMACY,480,
22/08/2026,INDIGO FLIGHT,6344,
23/08/2026,UPI-ZOMATO,834,
24/08/2026,DMART,2047,
25/08/2026,CAFE COFFEE DAY,399,
